# beardifier compute golden (BeardProbe)
# affected -54 -84 -54 82 36 71
-70 -26 0 0000000000000000
-70 -26 7 0000000000000000
-70 -26 14 0000000000000000
-70 -26 21 0000000000000000
-70 -26 28 0000000000000000
-70 -26 35 0000000000000000
-70 -26 42 0000000000000000
-70 -26 49 0000000000000000
-70 -26 56 0000000000000000
-70 -26 63 0000000000000000
-70 -26 70 0000000000000000
-70 -26 77 0000000000000000
-70 -26 84 0000000000000000
-70 -26 91 0000000000000000
-70 -26 98 0000000000000000
-70 -23 -70 0000000000000000
-70 -23 -63 0000000000000000
-70 -23 -56 0000000000000000
-70 -23 -49 0000000000000000
-70 -23 -42 0000000000000000
-70 -23 -35 0000000000000000
-70 -23 -28 0000000000000000
-70 -23 -21 0000000000000000
-70 -23 -14 0000000000000000
-70 -23 -7 0000000000000000
-70 -23 0 0000000000000000
-70 -23 7 0000000000000000
-70 -23 14 0000000000000000
-70 -23 21 0000000000000000
-70 -23 28 0000000000000000
-70 -23 35 0000000000000000
-70 -23 42 0000000000000000
-70 -23 49 0000000000000000
-70 -23 56 0000000000000000
-70 -23 63 0000000000000000
-70 -23 70 0000000000000000
-70 -23 77 0000000000000000
-70 -23 84 0000000000000000
-70 -23 91 0000000000000000
-70 -23 98 0000000000000000
-70 -20 -70 0000000000000000
-70 -20 -63 0000000000000000
-70 -20 -56 0000000000000000
-70 -20 -49 0000000000000000
-70 -20 -42 0000000000000000
-70 -20 -35 0000000000000000
-70 -20 -28 0000000000000000
-70 -20 -21 0000000000000000
-70 -20 -14 0000000000000000
-70 -20 -7 0000000000000000
-70 -20 0 0000000000000000
-70 -20 7 0000000000000000
-70 -20 14 0000000000000000
-70 -20 21 0000000000000000
-70 -20 28 0000000000000000
-70 -20 35 0000000000000000
-70 -20 42 0000000000000000
-70 -20 49 0000000000000000
-70 -20 56 0000000000000000
-70 -20 63 0000000000000000
-70 -20 70 0000000000000000
-70 -20 77 0000000000000000
-70 -20 84 0000000000000000
-70 -20 91 0000000000000000
-70 -20 98 0000000000000000
-70 -17 -70 0000000000000000
-70 -17 -63 0000000000000000
-70 -17 -56 0000000000000000
-70 -17 -49 0000000000000000
-70 -17 -42 0000000000000000
-70 -17 -35 0000000000000000
-70 -17 -28 0000000000000000
-70 -17 -21 0000000000000000
-70 -17 -14 0000000000000000
-70 -17 -7 0000000000000000
-70 -17 0 0000000000000000
-70 -17 7 0000000000000000
-70 -17 14 0000000000000000
-70 -17 21 0000000000000000
-70 -17 28 0000000000000000
-70 -17 35 0000000000000000
-70 -17 42 0000000000000000
-70 -17 49 0000000000000000
-70 -17 56 0000000000000000
-70 -17 63 0000000000000000
-70 -17 70 0000000000000000
-70 -17 77 0000000000000000
-70 -17 84 0000000000000000
-70 -17 91 0000000000000000
-70 -17 98 0000000000000000
-70 -14 -70 0000000000000000
-70 -14 -63 0000000000000000
-70 -14 -56 0000000000000000
-70 -14 -49 0000000000000000
-70 -14 -42 0000000000000000
-70 -14 -35 0000000000000000
-70 -14 -28 0000000000000000
-70 -14 -21 0000000000000000
-70 -14 -14 0000000000000000
-70 -14 -7 0000000000000000
-70 -14 0 0000000000000000
-70 -14 7 0000000000000000
-70 -14 14 0000000000000000
-70 -14 21 0000000000000000
-70 -14 28 0000000000000000
-70 -14 35 0000000000000000
-70 -14 42 0000000000000000
-70 -14 49 0000000000000000
-70 -14 56 0000000000000000
-70 -14 63 0000000000000000
-70 -14 70 0000000000000000
-70 -14 77 0000000000000000
-70 -14 84 0000000000000000
-70 -14 91 0000000000000000
-70 -14 98 0000000000000000
-70 -11 -70 0000000000000000
-70 -11 -63 0000000000000000
-70 -11 -56 0000000000000000
-70 -11 -49 0000000000000000
-70 -11 -42 0000000000000000
-70 -11 -35 0000000000000000
-70 -11 -28 0000000000000000
-70 -11 -21 0000000000000000
-70 -11 -14 0000000000000000
-70 -11 -7 0000000000000000
-70 -11 0 0000000000000000
-70 -11 7 0000000000000000
-70 -11 14 0000000000000000
-70 -11 21 0000000000000000
-70 -11 28 0000000000000000
-70 -11 35 0000000000000000
-70 -11 42 0000000000000000
-70 -11 49 0000000000000000
-70 -11 56 0000000000000000
-70 -11 63 0000000000000000
-70 -11 70 0000000000000000
-70 -11 77 0000000000000000
-70 -11 84 0000000000000000
-70 -11 91 0000000000000000
-70 -11 98 0000000000000000
-70 -8 -70 0000000000000000
-70 -8 -63 0000000000000000
-70 -8 -56 0000000000000000
-70 -8 -49 0000000000000000
-70 -8 -42 0000000000000000
-70 -8 -35 0000000000000000
-70 -8 -28 0000000000000000
-70 -8 -21 0000000000000000
-70 -8 -14 0000000000000000
-70 -8 -7 0000000000000000
-70 -8 0 0000000000000000
-70 -8 7 0000000000000000
-70 -8 14 0000000000000000
-70 -8 21 0000000000000000
-70 -8 28 0000000000000000
-70 -8 35 0000000000000000
-70 -8 42 0000000000000000
-70 -8 49 0000000000000000
-70 -8 56 0000000000000000
-70 -8 63 0000000000000000
-70 -8 70 0000000000000000
-70 -8 77 0000000000000000
-70 -8 84 0000000000000000
-70 -8 91 0000000000000000
-70 -8 98 0000000000000000
-70 -5 -70 0000000000000000
-70 -5 -63 0000000000000000
-70 -5 -56 0000000000000000
-70 -5 -49 0000000000000000
-70 -5 -42 0000000000000000
-70 -5 -35 0000000000000000
-70 -5 -28 0000000000000000
-70 -5 -21 0000000000000000
-70 -5 -14 0000000000000000
-70 -5 -7 0000000000000000
-70 -5 0 0000000000000000
-70 -5 7 0000000000000000
-70 -5 14 0000000000000000
-70 -5 21 0000000000000000
-70 -5 28 0000000000000000
-70 -5 35 0000000000000000
-70 -5 42 0000000000000000
-70 -5 49 0000000000000000
-70 -5 56 0000000000000000
-70 -5 63 0000000000000000
-70 -5 70 0000000000000000
-70 -5 77 0000000000000000
-70 -5 84 0000000000000000
-70 -5 91 0000000000000000
-70 -5 98 0000000000000000
-70 -2 -70 0000000000000000
-70 -2 -63 0000000000000000
-70 -2 -56 0000000000000000
-70 -2 -49 0000000000000000
-70 -2 -42 0000000000000000
-70 -2 -35 0000000000000000
-70 -2 -28 0000000000000000
-70 -2 -21 0000000000000000
-70 -2 -14 0000000000000000
-70 -2 -7 0000000000000000
-70 -2 0 0000000000000000
-70 -2 7 0000000000000000
-70 -2 14 0000000000000000
-70 -2 21 0000000000000000
-70 -2 28 0000000000000000
-70 -2 35 0000000000000000
-70 -2 42 0000000000000000
-70 -2 49 0000000000000000
-70 -2 56 0000000000000000
-70 -2 63 0000000000000000
-70 -2 70 0000000000000000
-70 -2 77 0000000000000000
-70 -2 84 0000000000000000
-70 -2 91 0000000000000000
-70 -2 98 0000000000000000
-70 1 -70 0000000000000000
-70 1 -63 0000000000000000
-70 1 -56 0000000000000000
-70 1 -49 0000000000000000
-70 1 -42 0000000000000000
-70 1 -35 0000000000000000
-70 1 -28 0000000000000000
-70 1 -21 0000000000000000
-70 1 -14 0000000000000000
-70 1 -7 0000000000000000
-70 1 0 0000000000000000
-70 1 7 0000000000000000
-70 1 14 0000000000000000
-70 1 21 0000000000000000
-70 1 28 0000000000000000
-70 1 35 0000000000000000
-70 1 42 0000000000000000
-70 1 49 0000000000000000
-70 1 56 0000000000000000
-70 1 63 0000000000000000
-70 1 70 0000000000000000
-70 1 77 0000000000000000
-70 1 84 0000000000000000
-70 1 91 0000000000000000
-70 1 98 0000000000000000
-70 4 -70 0000000000000000
-70 4 -63 0000000000000000
-70 4 -56 0000000000000000
-70 4 -49 0000000000000000
-70 4 -42 0000000000000000
-70 4 -35 0000000000000000
-70 4 -28 0000000000000000
-70 4 -21 0000000000000000
-70 4 -14 0000000000000000
-70 4 -7 0000000000000000
-70 4 0 0000000000000000
-70 4 7 0000000000000000
-70 4 14 0000000000000000
-70 4 21 0000000000000000
-70 4 28 0000000000000000
-70 4 35 0000000000000000
-70 4 42 0000000000000000
-70 4 49 0000000000000000
-70 4 56 0000000000000000
-70 4 63 0000000000000000
-70 4 70 0000000000000000
-70 4 77 0000000000000000
-70 4 84 0000000000000000
-70 4 91 0000000000000000
-70 4 98 0000000000000000
-70 7 -70 0000000000000000
-70 7 -63 0000000000000000
-70 7 -56 0000000000000000
-70 7 -49 0000000000000000
-70 7 -42 0000000000000000
-70 7 -35 0000000000000000
-70 7 -28 0000000000000000
-70 7 -21 0000000000000000
-70 7 -14 0000000000000000
